Title,Date,URL,Thumbnail
Snyk-Generated SBOMs Now Include License Details for the Open Source Libraries in Your Projects,"December 9, 2024",https://snyk.io/blog/include-license-info-in-your-sboms/,https://res.cloudinary.com/snyk/image/upload/v1686145798/blog-feature-supply-chain-sbom.jpg
2024 Open Source Security Report: Slowing Progress and New Challenges for DevSecOps,"December 3, 2024",https://snyk.io/blog/2024-open-source-security-report-slowing-progress-and-new-challenges-for/,https://res.cloudinary.com/snyk/image/upload/v1733243761/SOOS_2024_Featured_Image.png
Going beyond reachability to prioritize what matters most,"October 1, 2024",https://snyk.io/blog/Reachability-for-vuln-prioritization/,https://res.cloudinary.com/snyk/image/upload/v1671633565/wordpress-sync/blog-feature-toolkit.jpg
Weak Hash vulnerability discovered in crypto-js and crypto-es (CVE-2023-46233 & CVE-2023-46133),"October 25, 2023",https://snyk.io/blog/weak-hash-vulnerability-crypto-js-crypto-es/,https://res.cloudinary.com/snyk/image/upload/v1698255134/feature-crypto-vuln.jpg
Find and fix HTTP/2 rapid reset zero-day vulnerability CVE-2023-44487,"October 11, 2023",https://snyk.io/blog/find-fix-http-2-rapid-reset-zero-day-vulnerability-cve-2023-44487/,https://res.cloudinary.com/snyk/image/upload/v1697062814/feature-http2-vuln.jpg
Developer-first supply chain security,"September 19, 2023",https://snyk.io/blog/developer-first-supply-chain-security/,/_next/static/media/default-blog.f4eb278b.svg
"Software Supply Chain Security Tools: Types, Features & Considerations","August 2, 2023",https://snyk.io/blog/supply-chain-security-tools-guide/,/_next/static/media/default-blog.f4eb278b.svg
Secrets Management: Tools & Best Practice,"June 26, 2023",https://snyk.io/blog/secrets-management/,/_next/static/media/default-blog.f4eb278b.svg
How to implement DevSecOps in 4 steps: DevSecOps implementation strategy,"June 22, 2023",https://snyk.io/blog/4-steps-to-implement-devsecops/,https://res.cloudinary.com/snyk/image/upload/v1589487767/Licenting-blog-feature.png
High profile AWS breaches & how to avoid them,"June 7, 2023",https://snyk.io/blog/aws-security-breaches/,/_next/static/media/default-blog.f4eb278b.svg
Lessons from OpenSSL vulnerabilities part 2: Finding and fixing supply chain vulnerabilities,"April 26, 2023",https://snyk.io/blog/lessons-from-openssl-vulnerabilities-part-2/,https://res.cloudinary.com/snyk/image/upload/v1675769725/wordpress-sync/feature-snyk-supply-chain-purple.jpg
